2026/08/26 21:06:53.405, 0, 0 %, 0 %, 1017 MiB, 81.50 W
2026/08/26 21:06:53.408, 1, 0 %, 0 %, 9 MiB, 86.27 W
2026/08/26 21:06:53.910, 0, 0 %, 0 %, 1017 MiB, 78.04 W
2026/08/26 21:06:53.910, 1, 0 %, 0 %, 9 MiB, 83.38 W
2026/08/26 21:06:54.410, 0, 0 %, 0 %, 1017 MiB, 78.04 W
2026/08/26 21:06:54.410, 1, 0 %, 0 %, 9 MiB, 83.38 W
2026/08/26 21:06:54.910, 0, 0 %, 0 %, 1017 MiB, 55.99 W
2026/08/26 21:06:54.911, 1, 0 %, 0 %, 9 MiB, 61.79 W
2026/08/26 21:06:55.411, 0, 0 %, 0 %, 1017 MiB, 55.99 W
2026/08/26 21:06:55.411, 1, 0 %, 0 %, 9 MiB, 61.79 W
2026/08/26 21:06:55.911, 0, 0 %, 0 %, 1017 MiB, 44.85 W
2026/08/26 21:06:55.912, 1, 0 %, 0 %, 9 MiB, 50.49 W
2026/08/26 21:06:56.412, 0, 0 %, 0 %, 1017 MiB, 44.85 W
2026/08/26 21:06:56.412, 1, 0 %, 0 %, 9 MiB, 50.49 W
2026/08/26 21:06:56.912, 0, 0 %, 0 %, 1017 MiB, 32.74 W
2026/08/26 21:06:56.913, 1, 0 %, 0 %, 9 MiB, 37.47 W
2026/08/26 21:06:57.413, 0, 0 %, 0 %, 1017 MiB, 32.74 W
2026/08/26 21:06:57.413, 1, 0 %, 0 %, 9 MiB, 37.47 W
2026/08/26 21:06:57.913, 0, 0 %, 0 %, 1017 MiB, 29.16 W
2026/08/26 21:06:57.913, 1, 0 %, 0 %, 9 MiB, 32.83 W
2026/08/26 21:06:58.414, 0, 0 %, 0 %, 1017 MiB, 29.16 W
2026/08/26 21:06:58.414, 1, 0 %, 0 %, 9 MiB, 32.83 W
2026/08/26 21:06:58.914, 0, 0 %, 0 %, 1017 MiB, 27.61 W
2026/08/26 21:06:58.914, 1, 0 %, 0 %, 9 MiB, 30.68 W
2026/08/26 21:06:59.415, 0, 0 %, 0 %, 1017 MiB, 27.61 W
2026/08/26 21:06:59.415, 1, 0 %, 0 %, 9 MiB, 30.68 W
2026/08/26 21:06:59.915, 0, 0 %, 0 %, 1017 MiB, 27.41 W
2026/08/26 21:06:59.915, 1, 0 %, 0 %, 9 MiB, 30.64 W
2026/08/26 21:07:00.416, 0, 0 %, 0 %, 1017 MiB, 27.41 W
2026/08/26 21:07:00.416, 1, 0 %, 0 %, 9 MiB, 30.64 W
2026/08/26 21:07:00.916, 0, 0 %, 0 %, 1017 MiB, 27.51 W
2026/08/26 21:07:00.916, 1, 0 %, 0 %, 9 MiB, 30.57 W
2026/08/26 21:07:01.417, 0, 0 %, 0 %, 1017 MiB, 27.51 W
2026/08/26 21:07:01.417, 1, 0 %, 0 %, 9 MiB, 30.57 W
2026/08/26 21:07:01.917, 0, 0 %, 0 %, 1017 MiB, 27.69 W
2026/08/26 21:07:01.917, 1, 0 %, 0 %, 9 MiB, 30.56 W
