step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.294e8a0000000p-1	0x1.0639c00000000p+6	0x1.96f9f40000000p+5	0x1.49cdb80000000p+5	0x1.c2c5e20000000p+10
1	0x1.1d58f00000000p-1	0x1.1521340000000p+6	0x1.b959720000000p+5	0x1.4d8b420000000p+5	0x1.c2c5e20000000p+10
2	0x1.45a4ba0000000p-1	0x1.b0531e0000000p+5	0x1.3fcd320000000p+5	0x1.1f235a0000000p+5	0x1.c2c5e20000000p+10
3	0x1.1f67100000000p-1	0x1.4a57920000000p+6	0x1.f39ab00000000p+5	0x1.ae5d960000000p+5	0x1.c2c5e20000000p+10
4	0x1.259b580000000p-1	0x1.23c3f80000000p+6	0x1.c64d700000000p+5	0x1.6d42d20000000p+5	0x1.c2c5e20000000p+10
5	0x1.2319540000000p-1	0x1.bc83ee0000000p+5	0x1.5f7a3c0000000p+5	0x1.0d6dd40000000p+5	0x1.c2c5e20000000p+10
6	0x1.e05aa00000000p-2	0x1.1ec8a00000000p+7	0x1.b4b2780000000p+6	0x1.737ba20000000p+6	0x1.c2c5e20000000p+10
7	0x1.1a59400000000p-1	0x1.8966500000000p+7	0x1.2b1a800000000p+7	0x1.febf240000000p+6	0x1.c2c5e20000000p+10
8	0x1.33ca540000000p-1	0x1.1aca360000000p+7	0x1.ad0e880000000p+6	0x1.700a760000000p+6	0x1.c2c5e20000000p+10
9	0x1.61b4d80000000p-1	0x1.3948300000000p+5	0x1.fe25380000000p+4	0x1.6782ea0000000p+4	0x1.c2c5e20000000p+10
10	0x1.50196e0000000p-1	0x1.2b4c900000000p+5	0x1.cf47380000000p+4	0x1.75da240000000p+4	0x1.c2c5e20000000p+10
11	0x1.1d05d60000000p-1	0x1.2bb7740000000p+7	0x1.bedf2a0000000p+6	0x1.8efe7a0000000p+6	0x1.c2c5e20000000p+10
12	0x1.26d3260000000p-1	0x1.5555e40000000p+7	0x1.02b8b20000000p+7	0x1.bc99b60000000p+6	0x1.c2c5e20000000p+10
13	0x1.058cbe0000000p-1	0x1.7fd8720000000p+5	0x1.14c5280000000p+5	0x1.03c9120000000p+5	0x1.c2c5e20000000p+10
14	0x1.77c0260000000p-1	0x1.d4c4e20000000p+5	0x1.66d7a00000000p+5	0x1.2acbc60000000p+5	0x1.c2c5e20000000p+10
15	0x1.4fa3f60000000p-1	0x1.45c7440000000p+6	0x1.003a4e0000000p+6	0x1.915b5c0000000p+5	0x1.c2c5e20000000p+10
16	0x1.2171740000000p-1	0x1.a6923e0000000p+6	0x1.44a6000000000p+6	0x1.0e339e0000000p+6	0x1.c2c5e20000000p+10
17	0x1.4a14600000000p-1	0x1.ef2abc0000000p+6	0x1.7efb520000000p+6	0x1.392d8c0000000p+6	0x1.c2c5e20000000p+10
18	0x1.0d63800000000p-1	0x1.a5d1f20000000p+4	0x1.3dce9a0000000p+4	0x1.0ed8900000000p+4	0x1.c2c5e20000000p+10
19	0x1.63e5200000000p-1	0x1.bbf70a0000000p+7	0x1.522e5a0000000p+7	0x1.1f67dc0000000p+7	0x1.c2c5e20000000p+10
20	0x1.dacd800000000p-2	0x1.2054500000000p+6	0x1.b4c2480000000p+5	0x1.7711800000000p+5	0x1.c2c5e20000000p+10
21	0x1.f2c8c00000000p-2	0x1.0e13a40000000p+5	0x1.a96d0e0000000p+4	0x1.43833e0000000p+4	0x1.c2c5e20000000p+10
22	0x1.0cc6b00000000p-1	0x1.7db22a0000000p+6	0x1.21151c0000000p+6	0x1.f0ecae0000000p+5	0x1.c2c5e20000000p+10
23	0x1.09066e0000000p-1	0x1.269ae20000000p+7	0x1.c3b2820000000p+6	0x1.7a18d20000000p+6	0x1.c2c5e20000000p+10
24	0x1.4ac1100000000p-1	0x1.ab516a0000000p+7	0x1.4169e20000000p+7	0x1.1953300000000p+7	0x1.c2c5e20000000p+10
25	0x1.fc6dc60000000p-2	0x1.715a280000000p+7	0x1.1b0ed80000000p+7	0x1.da6fa80000000p+6	0x1.c2c5e20000000p+10
26	0x1.299f060000000p-1	0x1.1bb7be0000000p+8	0x1.a8930c0000000p+7	0x1.7853420000000p+7	0x1.c2c5e20000000p+10
27	0x1.19fc0a0000000p-1	0x1.0317e40000000p+6	0x1.91f94a0000000p+5	0x1.458e140000000p+5	0x1.c2c5e20000000p+10
28	0x1.00f14e0000000p-1	0x1.99b8d60000000p+5	0x1.2a74d20000000p+5	0x1.17a6c20000000p+5	0x1.c2c5e20000000p+10
29	0x1.10c2460000000p-1	0x1.848ce60000000p+6	0x1.344a580000000p+6	0x1.d7f1660000000p+5	0x1.c2c5e20000000p+10
30	0x1.a90ffe0000000p-2	0x1.c6c6b20000000p+5	0x1.513e460000000p+5	0x1.2f9c900000000p+5	0x1.c2c5e20000000p+10
31	0x1.8240ae0000000p-2	0x1.82c3600000000p+6	0x1.27e0bc0000000p+6	0x1.f190e80000000p+5	0x1.c2c5e20000000p+10
32	0x1.8ca2640000000p-2	0x1.6485b00000000p+7	0x1.0a58d40000000p+7	0x1.d9c1c80000000p+6	0x1.c2c5e20000000p+10
33	0x1.a4b75a0000000p-2	0x1.fbbc880000000p+4	0x1.73ab880000000p+4	0x1.56a0280000000p+4	0x1.c2c5e20000000p+10
34	0x1.64875c0000000p-2	0x1.ec93660000000p+5	0x1.6968880000000p+5	0x1.4e20b00000000p+5	0x1.c2c5e20000000p+10
35	0x1.fff6860000000p-3	0x1.ba4faa0000000p+5	0x1.4bc9a80000000p+5	0x1.23427e0000000p+5	0x1.c2c5e20000000p+10
36	0x1.8af8b40000000p-2	0x1.977c580000000p+4	0x1.2fdbca0000000p+4	0x1.0c73f80000000p+4	0x1.c2c5e20000000p+10
37	0x1.3e92220000000p-2	0x1.4a9d140000000p+6	0x1.f0b9480000000p+5	0x1.b415300000000p+5	0x1.c2c5e20000000p+10
38	0x1.2bdbce0000000p-2	0x1.fc1b180000000p+4	0x1.7a353a0000000p+4	0x1.519e880000000p+4	0x1.c2c5e20000000p+10
39	0x1.14fd140000000p-2	0x1.a12bf20000000p+4	0x1.3a74480000000p+4	0x1.10bd4e0000000p+4	0x1.c2c5e20000000p+10
40	0x1.128eba0000000p-2	0x1.7f922c0000000p+5	0x1.12a3600000000p+5	0x1.0b56d00000000p+5	0x1.c2c5e20000000p+10
41	0x1.aa44340000000p-2	0x1.2f466e0000000p+4	0x1.ee03200000000p+3	0x1.4d919c0000000p+3	0x1.c2c5e20000000p+10
42	0x1.7a64260000000p-2	0x1.725e120000000p+6	0x1.12ff680000000p+6	0x1.efae840000000p+5	0x1.c2c5e20000000p+10
43	0x1.3974ae0000000p-2	0x1.455c5c0000000p+5	0x1.f67fe60000000p+4	0x1.972eb00000000p+4	0x1.c2c5e20000000p+10
44	0x1.6d425c0000000p-3	0x1.c82a800000000p+5	0x1.559d2a0000000p+5	0x1.2e0bfe0000000p+5	0x1.c2c5e20000000p+10
45	0x1.5aa5f60000000p-2	0x1.5537ec0000000p+4	0x1.0357560000000p+4	0x1.b5944e0000000p+3	0x1.c2c5e20000000p+10
46	0x1.9603860000000p-3	0x1.f34a200000000p+2	0x1.76fa000000000p+2	0x1.3d3fde0000000p+2	0x1.c2c5e20000000p+10
47	0x1.6b280e0000000p-2	0x1.8d789e0000000p+3	0x1.444f500000000p+3	0x1.a305dc0000000p+2	0x1.c2c5e20000000p+10
48	0x1.6945bc0000000p-3	0x1.7a32cc0000000p+2	0x1.2170c20000000p+2	0x1.c7544a0000000p+1	0x1.c2c5e20000000p+10
49	0x1.8d7c000000000p-3	0x1.520c1e0000000p+3	0x1.f86c4c0000000p+2	0x1.bbe65e0000000p+2	0x1.c2c5e20000000p+10
50	0x1.4722220000000p-2	0x1.a67fb60000000p+3	0x1.6100dc0000000p+3	0x1.af3be60000000p+2	0x1.c2c5e20000000p+10
51	0x1.2ad37e0000000p-3	0x1.8a2b160000000p+1	0x1.3c13240000000p+1	0x1.6d7dd00000000p+0	0x1.c2c5e20000000p+10
52	0x1.cde8660000000p-3	0x1.6d31300000000p+2	0x1.31b2ea0000000p+2	0x1.5fd11e0000000p+1	0x1.c2c5e20000000p+10
53	0x1.ff78300000000p-3	0x1.53bf9e0000000p+4	0x1.07cfea0000000p+4	0x1.a85cb40000000p+3	0x1.c2c5e20000000p+10
54	0x1.f6370a0000000p-3	0x1.8a16c00000000p+2	0x1.3dc3720000000p+2	0x1.a75c540000000p+1	0x1.c2c5e20000000p+10
55	0x1.7b0ae20000000p-3	0x1.5712160000000p+2	0x1.1de1d80000000p+2	0x1.3cbd8c0000000p+1	0x1.c2c5e20000000p+10
56	0x1.ada1a60000000p-3	0x1.f1b9040000000p+3	0x1.7c939a0000000p+3	0x1.3c6afa0000000p+3	0x1.c2c5e20000000p+10
57	0x1.d43bfa0000000p-3	0x1.38f0620000000p+3	0x1.f996720000000p+2	0x1.599bc00000000p+2	0x1.c2c5e20000000p+10
