step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.6e28ac0000000p-4	0x1.44fb100000000p+0	0x1.4211be0000000p+0	0x1.bfb4040000000p-4	0x1.c5e2fa0000000p+10
1	0x1.8039780000000p-4	0x1.7619c60000000p+0	0x1.7308dc0000000p+0	0x1.f6ea9c0000000p-4	0x1.c5e2fa0000000p+10
2	0x1.5e4fa60000000p-4	0x1.52a47c0000000p+0	0x1.4fe0140000000p+0	0x1.c43ffe0000000p-4	0x1.c5e2fa0000000p+10
3	0x1.7ca8ae0000000p-4	0x1.8fb1180000000p+0	0x1.8b7a120000000p+0	0x1.1032f00000000p-3	0x1.c5e2fa0000000p+10
4	0x1.5ad7e80000000p-4	0x1.44136a0000000p+0	0x1.4112020000000p+0	0x1.b896980000000p-4	0x1.c5e2fa0000000p+10
5	0x1.6d99860000000p-4	0x1.2d8d5a0000000p+0	0x1.2ac2740000000p+0	0x1.9a949c0000000p-4	0x1.c5e2fa0000000p+10
6	0x1.9cfef00000000p-4	0x1.5ec5720000000p+0	0x1.5bdcc00000000p+0	0x1.dc899a0000000p-4	0x1.c5e2fa0000000p+10
7	0x1.632d860000000p-4	0x1.425cc40000000p+0	0x1.3f7bce0000000p+0	0x1.bcd1a20000000p-4	0x1.c5e2fa0000000p+10
8	0x1.569e3e0000000p-4	0x1.43ec080000000p+0	0x1.413a0a0000000p+0	0x1.b589400000000p-4	0x1.c5e2fa0000000p+10
9	0x1.5c78360000000p-4	0x1.5021a60000000p+0	0x1.4d67b00000000p+0	0x1.c2d1920000000p-4	0x1.c5e2fa0000000p+10
10	0x1.7a88d80000000p-4	0x1.57c1380000000p+0	0x1.5515480000000p+0	0x1.cad40c0000000p-4	0x1.c5e2fa0000000p+10
11	0x1.77bb6e0000000p-4	0x1.513e560000000p+0	0x1.4ec5a00000000p+0	0x1.bcc4ac0000000p-4	0x1.c5e2fa0000000p+10
12	0x1.57a8400000000p-4	0x1.36a0a80000000p+0	0x1.33e9e00000000p+0	0x1.9e06420000000p-4	0x1.c5e2fa0000000p+10
13	0x1.4eac260000000p-4	0x1.1df7be0000000p+0	0x1.1b90580000000p+0	0x1.7ef5800000000p-4	0x1.c5e2fa0000000p+10
14	0x1.4cd9360000000p-4	0x1.1196b80000000p+0	0x1.0f1f1c0000000p+0	0x1.72055c0000000p-4	0x1.c5e2fa0000000p+10
