step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.2f1db00000000p-1	0x1.11ea0a0000000p+6	0x1.a791b60000000p+5	0x1.5a79ae0000000p+5	0x1.c2c5e20000000p+10
1	0x1.1ca36e0000000p-1	0x1.02212a0000000p+6	0x1.9c8ef40000000p+5	0x1.3485da0000000p+5	0x1.c2c5e20000000p+10
2	0x1.4467900000000p-1	0x1.b13bcc0000000p+5	0x1.40bc760000000p+5	0x1.1f7eae0000000p+5	0x1.c2c5e20000000p+10
3	0x1.1e84640000000p-1	0x1.4c778e0000000p+6	0x1.f6db0a0000000p+5	0x1.b122ee0000000p+5	0x1.c2c5e20000000p+10
4	0x1.297d7a0000000p-1	0x1.2b7b920000000p+6	0x1.d1a2c60000000p+5	0x1.77d7ae0000000p+5	0x1.c2c5e20000000p+10
5	0x1.25b0c60000000p-1	0x1.a723f00000000p+5	0x1.4ecc720000000p+5	0x1.ffbede0000000p+4	0x1.c2c5e20000000p+10
6	0x1.e091660000000p-2	0x1.1a67c80000000p+7	0x1.ae14020000000p+6	0x1.6dc14a0000000p+6	0x1.c2c5e20000000p+10
7	0x1.1e015e0000000p-1	0x1.86c6420000000p+7	0x1.2921d60000000p+7	0x1.fb47220000000p+6	0x1.c2c5e20000000p+10
8	0x1.33ea060000000p-1	0x1.1c07d80000000p+7	0x1.af046a0000000p+6	0x1.7191be0000000p+6	0x1.c2c5e20000000p+10
9	0x1.6fa2720000000p-1	0x1.48880a0000000p+5	0x1.0b16300000000p+5	0x1.7af0700000000p+4	0x1.c2c5e20000000p+10
10	0x1.57ba460000000p-1	0x1.1e1fa60000000p+5	0x1.b5609a0000000p+4	0x1.6b9d720000000p+4	0x1.c2c5e20000000p+10
11	0x1.21ff360000000p-1	0x1.298cb60000000p+7	0x1.bb4fa00000000p+6	0x1.8c7a1e0000000p+6	0x1.c2c5e20000000p+10
12	0x1.2d78460000000p-1	0x1.5e64d20000000p+7	0x1.09d6620000000p+7	0x1.c7db020000000p+6	0x1.c2c5e20000000p+10
13	0x1.0383960000000p-1	0x1.4e189a0000000p+5	0x1.df5a2e0000000p+4	0x1.c4040a0000000p+4	0x1.c2c5e20000000p+10
14	0x1.7ecc540000000p-1	0x1.df23520000000p+5	0x1.75ca440000000p+5	0x1.28f03a0000000p+5	0x1.c2c5e20000000p+10
15	0x1.4fbc160000000p-1	0x1.42d7060000000p+6	0x1.fc9ab80000000p+5	0x1.8cb47a0000000p+5	0x1.c2c5e20000000p+10
16	0x1.209c1e0000000p-1	0x1.babdce0000000p+6	0x1.5372f80000000p+6	0x1.1bf6600000000p+6	0x1.c2c5e20000000p+10
