step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.6efbfa0000000p-4	0x1.9b5d9a0000000p+0	0x1.94d1e60000000p+0	0x1.1262d80000000p-3	0x1.c5ef760000000p+10
1	0x1.aad1ba0000000p-4	0x1.93eb820000000p+0	0x1.8d8b7c0000000p+0	0x1.0028b40000000p-3	0x1.c5ef760000000p+10
2	0x1.3363ca0000000p-4	0x1.ed361a0000000p+0	0x1.e695280000000p+0	0x1.3601f80000000p-3	0x1.c5ef760000000p+10
3	0x1.4d9c060000000p-4	0x1.096ed60000000p+0	0x1.03950e0000000p+0	0x1.5be84c0000000p-4	0x1.c5ef760000000p+10
4	0x1.26ce2c0000000p-4	0x1.3917d00000000p+0	0x1.3297ca0000000p+0	0x1.a5a8fc0000000p-4	0x1.c5ef760000000p+10
5	0x1.6368ac0000000p-4	0x1.4ed9b80000000p+0	0x1.4a5b240000000p+0	0x1.8118c00000000p-4	0x1.c5ef760000000p+10
6	0x1.b7176a0000000p-4	0x1.821a920000000p+0	0x1.7b267a0000000p+0	0x1.f0b9fe0000000p-4	0x1.c5ef760000000p+10
7	0x1.97fa240000000p-4	0x1.3a85100000000p+0	0x1.3632780000000p+0	0x1.45f8180000000p-4	0x1.c5ef760000000p+10
8	0x1.7123a00000000p-4	0x1.cf442e0000000p+0	0x1.c49b6a0000000p+0	0x1.33520c0000000p-3	0x1.c5ef760000000p+10
9	0x1.64aa3c0000000p-4	0x1.30a39c0000000p+0	0x1.2b6fd20000000p+0	0x1.9be1b60000000p-4	0x1.c5ef760000000p+10
10	0x1.2105ee0000000p-4	0x1.15cd5a0000000p+0	0x1.11efb80000000p+0	0x1.672b3e0000000p-4	0x1.c5ef760000000p+10
11	0x1.4c46aa0000000p-4	0x1.e2bdaa0000000p+0	0x1.dddea80000000p+0	0x1.29e7820000000p-3	0x1.c5ef760000000p+10
12	0x1.0744f60000000p-3	0x1.b494f00000000p+0	0x1.ae49660000000p+0	0x1.11b5aa0000000p-3	0x1.c5ef760000000p+10
13	0x1.087d000000000p-4	0x1.15414c0000000p+0	0x1.0fe50a0000000p+0	0x1.774fb20000000p-4	0x1.c5ef760000000p+10
14	0x1.1985340000000p-3	0x1.c0bb9c0000000p+0	0x1.ba7cfc0000000p+0	0x1.24e3800000000p-3	0x1.c5ef760000000p+10
15	0x1.755d4e0000000p-4	0x1.7581d20000000p+0	0x1.6ff4e20000000p+0	0x1.cdd0380000000p-4	0x1.c5ef760000000p+10
16	0x1.6a88e00000000p-4	0x1.908f740000000p+0	0x1.8ac31e0000000p+0	0x1.02da460000000p-3	0x1.c5ef760000000p+10
