step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.c485ae0000000p-4	0x1.d7d1f20000000p+0	0x1.d19cda0000000p+0	0x1.3b17200000000p-3	0x1.c5e2fa0000000p+10
1	0x1.2b30640000000p-4	0x1.9099400000000p+0	0x1.8a8cb60000000p+0	0x1.1790200000000p-3	0x1.c5e2fa0000000p+10
2	0x1.6103760000000p-4	0x1.ad9fba0000000p+0	0x1.a6ee940000000p+0	0x1.2364020000000p-3	0x1.c5e2fa0000000p+10
3	0x1.37fbe00000000p-4	0x1.380d200000000p+0	0x1.3307000000000p+0	0x1.968fee0000000p-4	0x1.c5e2fa0000000p+10
4	0x1.7a3ac60000000p-4	0x1.5765140000000p+0	0x1.4e9e9c0000000p+0	0x1.d040580000000p-4	0x1.c5e2fa0000000p+10
5	0x1.98c51a0000000p-4	0x1.7095e00000000p+0	0x1.6b09e20000000p+0	0x1.ed22d60000000p-4	0x1.c5e2fa0000000p+10
6	0x1.64d4140000000p-4	0x1.5c718a0000000p+0	0x1.56ab620000000p+0	0x1.bb4cb80000000p-4	0x1.c5e2fa0000000p+10
7	0x1.24f0820000000p-4	0x1.45a7520000000p+0	0x1.41a6980000000p+0	0x1.86fb300000000p-4	0x1.c5e2fa0000000p+10
8	0x1.8761b40000000p-4	0x1.418b240000000p+0	0x1.3c31660000000p+0	0x1.9ec5fc0000000p-4	0x1.c5e2fa0000000p+10
9	0x1.973e2c0000000p-4	0x1.7174b20000000p+0	0x1.6b44da0000000p+0	0x1.db06960000000p-4	0x1.c5e2fa0000000p+10
10	0x1.75d3320000000p-4	0x1.5b0b920000000p+0	0x1.555dec0000000p+0	0x1.b4536a0000000p-4	0x1.c5e2fa0000000p+10
11	0x1.4fe22e0000000p-4	0x1.a3569a0000000p+0	0x1.9e79b00000000p+0	0x1.0f74e00000000p-3	0x1.c5e2fa0000000p+10
12	0x1.69d25e0000000p-4	0x1.7c48000000000p+0	0x1.773f500000000p+0	0x1.f27f680000000p-4	0x1.c5e2fa0000000p+10
13	0x1.5b5cd00000000p-4	0x1.3c5aa80000000p+0	0x1.3774ae0000000p+0	0x1.9586b40000000p-4	0x1.c5e2fa0000000p+10
14	0x1.ef260e0000000p-4	0x1.d80c7a0000000p+0	0x1.d068f60000000p+0	0x1.3534e00000000p-3	0x1.c5e2fa0000000p+10
15	0x1.76ab9e0000000p-4	0x1.86d6580000000p+0	0x1.80c3200000000p+0	0x1.0427e20000000p-3	0x1.c5e2fa0000000p+10
16	0x1.78c7960000000p-4	0x1.405a840000000p+0	0x1.3a78e60000000p+0	0x1.ab5cda0000000p-4	0x1.c5e2fa0000000p+10
17	0x1.5696460000000p-4	0x1.ab9ff20000000p+0	0x1.a55ea20000000p+0	0x1.0ed6000000000p-3	0x1.c5e2fa0000000p+10
18	0x1.6269660000000p-4	0x1.fe72380000000p-1	0x1.f5711c0000000p-1	0x1.4e87620000000p-4	0x1.c5e2fa0000000p+10
19	0x1.a7cb740000000p-5	0x1.8215540000000p+0	0x1.7aa3660000000p+0	0x1.1290da0000000p-3	0x1.c5e2fa0000000p+10
20	0x1.486e7e0000000p-4	0x1.5223700000000p+0	0x1.4e284e0000000p+0	0x1.b2392c0000000p-4	0x1.c5e2fa0000000p+10
21	0x1.3ca44e0000000p-4	0x1.9b992e0000000p+0	0x1.9639f80000000p+0	0x1.1a3f000000000p-3	0x1.c5e2fa0000000p+10
22	0x1.3885f60000000p-4	0x1.239f160000000p+0	0x1.1e0b2a0000000p+0	0x1.763d680000000p-4	0x1.c5e2fa0000000p+10
23	0x1.1cff700000000p-4	0x1.354fb80000000p+0	0x1.3059640000000p+0	0x1.8fff5c0000000p-4	0x1.c5e2fa0000000p+10
24	0x1.19223a0000000p-4	0x1.337ffc0000000p+0	0x1.2c04d40000000p+0	0x1.b0f9ce0000000p-4	0x1.c5e2fa0000000p+10
25	0x1.9804a40000000p-4	0x1.ce244a0000000p+0	0x1.c8cf180000000p+0	0x1.216c820000000p-3	0x1.c5e2fa0000000p+10
26	0x1.74a3e00000000p-4	0x1.7e211a0000000p+0	0x1.78f8400000000p+0	0x1.f6bbec0000000p-4	0x1.c5e2fa0000000p+10
27	0x1.f981e60000000p-5	0x1.ca13fc0000000p-1	0x1.c12f6a0000000p-1	0x1.2fd1880000000p-4	0x1.c5e2fa0000000p+10
28	0x1.503a980000000p-4	0x1.db6d220000000p+0	0x1.d5c8e20000000p+0	0x1.31e8c60000000p-3	0x1.c5e2fa0000000p+10
29	0x1.1781560000000p-4	0x1.2380bc0000000p+0	0x1.1e803c0000000p+0	0x1.75a8540000000p-4	0x1.c5e2fa0000000p+10
30	0x1.197b860000000p-4	0x1.3107f00000000p+0	0x1.2c82260000000p+0	0x1.8c9e3c0000000p-4	0x1.c5e2fa0000000p+10
31	0x1.12fe520000000p-4	0x1.dbd1ee0000000p-1	0x1.d2e9460000000p-1	0x1.23d2280000000p-4	0x1.c5e2fa0000000p+10
32	0x1.92a1d00000000p-4	0x1.6ed9640000000p+0	0x1.69cb580000000p+0	0x1.d826b80000000p-4	0x1.c5e2fa0000000p+10
33	0x1.5c731a0000000p-4	0x1.2a76580000000p+0	0x1.25a7a60000000p+0	0x1.7844f40000000p-4	0x1.c5e2fa0000000p+10
34	0x1.7054160000000p-4	0x1.9e82e60000000p+0	0x1.9664c20000000p+0	0x1.0213ee0000000p-3	0x1.c5e2fa0000000p+10
35	0x1.e0c9300000000p-4	0x1.2a58e40000000p+0	0x1.2568940000000p+0	0x1.542d380000000p-4	0x1.c5e2fa0000000p+10
36	0x1.31e7f40000000p-4	0x1.6362d00000000p+0	0x1.5e83c60000000p+0	0x1.d013de0000000p-4	0x1.c5e2fa0000000p+10
37	0x1.31569a0000000p-4	0x1.8b41020000000p+0	0x1.86bc900000000p+0	0x1.00220e0000000p-3	0x1.c5e2fa0000000p+10
