step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.4c51e60000000p-1	0x1.455ff00000000p+7	0x1.fb2e160000000p+6	0x1.976d840000000p+6	0x1.c2c5e20000000p+10
1	0x1.489ad60000000p-1	0x1.a5d5200000000p+7	0x1.4484000000000p+7	0x1.0d64340000000p+7	0x1.c2c5e20000000p+10
2	0x1.3d44660000000p-1	0x1.7f88cc0000000p+5	0x1.2d07a20000000p+5	0x1.d87f5a0000000p+4	0x1.c2c5e20000000p+10
3	0x1.0e7a900000000p-1	0x1.cbf5900000000p+5	0x1.5d56fe0000000p+5	0x1.27c65a0000000p+5	0x1.c2c5e20000000p+10
4	0x1.43f6460000000p-1	0x1.51d1780000000p+6	0x1.ff41e80000000p+5	0x1.b77d860000000p+5	0x1.c2c5e20000000p+10
5	0x1.1c8fc20000000p-1	0x1.e19a840000000p+4	0x1.8ddb240000000p+4	0x1.04e2c80000000p+4	0x1.c2c5e20000000p+10
6	0x1.0d40fe0000000p-1	0x1.6f8d960000000p+6	0x1.0fcffc0000000p+6	0x1.eda39a0000000p+5	0x1.c2c5e20000000p+10
7	0x1.f656b40000000p-2	0x1.7192ea0000000p+6	0x1.1949d00000000p+6	0x1.dd6aba0000000p+5	0x1.c2c5e20000000p+10
8	0x1.645eee0000000p-1	0x1.1cebb80000000p+7	0x1.c0d9880000000p+6	0x1.5eb9f40000000p+6	0x1.c2c5e20000000p+10
9	0x1.3f6a740000000p-1	0x1.50cfea0000000p+5	0x1.fbb8540000000p+4	0x1.b28c3c0000000p+4	0x1.c2c5e20000000p+10
10	0x1.2957e00000000p-1	0x1.2c8ca80000000p+6	0x1.bcd4b60000000p+5	0x1.9294340000000p+5	0x1.c2c5e20000000p+10
11	0x1.2ccb5c0000000p-1	0x1.59d57a0000000p+5	0x1.1439600000000p+5	0x1.99caa20000000p+4	0x1.c2c5e20000000p+10
12	0x1.377dc00000000p-1	0x1.b490240000000p+5	0x1.551bf40000000p+5	0x1.0c87c20000000p+5	0x1.c2c5e20000000p+10
13	0x1.3ccfb20000000p-1	0x1.a49f4a0000000p+6	0x1.3cfdc40000000p+6	0x1.12b8ba0000000p+6	0x1.c2c5e20000000p+10
14	0x1.4e41660000000p-1	0x1.28dae00000000p+6	0x1.d6c6400000000p+5	0x1.6846aa0000000p+5	0x1.c2c5e20000000p+10
15	0x1.0017500000000p-1	0x1.0186b80000000p+5	0x1.85d62a0000000p+4	0x1.4972580000000p+4	0x1.c2c5e20000000p+10
16	0x1.4b55da0000000p-1	0x1.6384340000000p+6	0x1.06ab0a0000000p+6	0x1.ddf0f40000000p+5	0x1.c2c5e20000000p+10
17	0x1.e3cc540000000p-2	0x1.28e30a0000000p+6	0x1.bc95ba0000000p+5	0x1.8802cc0000000p+5	0x1.c2c5e20000000p+10
18	0x1.e2fe5e0000000p-2	0x1.074e300000000p+6	0x1.a2c87c0000000p+5	0x1.3e451a0000000p+5	0x1.c2c5e20000000p+10
19	0x1.0b5e5e0000000p-1	0x1.3e3d6e0000000p+7	0x1.e796880000000p+6	0x1.98d59a0000000p+6	0x1.c2c5e20000000p+10
20	0x1.840cf40000000p-1	0x1.09f2be0000000p+8	0x1.87dbe60000000p+7	0x1.6775400000000p+7	0x1.c2c5e20000000p+10
21	0x1.82fac00000000p-2	0x1.c86cc00000000p+6	0x1.5549660000000p+6	0x1.2e93a20000000p+6	0x1.c2c5e20000000p+10
22	0x1.1d250e0000000p-1	0x1.5d5a4e0000000p+6	0x1.07fe6e0000000p+6	0x1.c881360000000p+5	0x1.c2c5e20000000p+10
23	0x1.4c0f440000000p-1	0x1.f7aa8c0000000p+5	0x1.9280b00000000p+5	0x1.2d78de0000000p+5	0x1.c2c5e20000000p+10
24	0x1.1724ce0000000p-1	0x1.245d4a0000000p+7	0x1.b790ee0000000p+6	0x1.8131400000000p+6	0x1.c2c5e20000000p+10
25	0x1.140bde0000000p-1	0x1.33919a0000000p+7	0x1.cd53160000000p+6	0x1.96a1960000000p+6	0x1.c2c5e20000000p+10
26	0x1.5204d60000000p-1	0x1.5f2b080000000p+5	0x1.0aeb860000000p+5	0x1.c4eba40000000p+4	0x1.c2c5e20000000p+10
27	0x1.b0e8340000000p-2	0x1.36157c0000000p+7	0x1.d227fa0000000p+6	0x1.989c0c0000000p+6	0x1.c2c5e20000000p+10
28	0x1.31fdfe0000000p-1	0x1.c5558a0000000p+4	0x1.6c93480000000p+4	0x1.066e8c0000000p+4	0x1.c2c5e20000000p+10
29	0x1.08ee440000000p-1	0x1.0a787a0000000p+5	0x1.a65be80000000p+4	0x1.41c91e0000000p+4	0x1.c2c5e20000000p+10
30	0x1.8d3bea0000000p-2	0x1.50511c0000000p+6	0x1.01cd9e0000000p+6	0x1.af515c0000000p+5	0x1.c2c5e20000000p+10
31	0x1.22d3b00000000p-2	0x1.7d99360000000p+4	0x1.28515e0000000p+4	0x1.dba4f40000000p+3	0x1.c2c5e20000000p+10
32	0x1.8155200000000p-2	0x1.1086b00000000p+7	0x1.9662c20000000p+6	0x1.6aecb00000000p+6	0x1.c2c5e20000000p+10
33	0x1.8811e60000000p-2	0x1.390a720000000p+5	0x1.caacac0000000p+4	0x1.a7e34c0000000p+4	0x1.c2c5e20000000p+10
34	0x1.7019160000000p-2	0x1.51b5420000000p+4	0x1.fff0de0000000p+3	0x1.b17d320000000p+3	0x1.c2c5e20000000p+10
35	0x1.b9223a0000000p-2	0x1.819bc40000000p+6	0x1.2123020000000p+6	0x1.fd5c9e0000000p+5	0x1.c2c5e20000000p+10
36	0x1.bf33960000000p-2	0x1.9d4f9a0000000p+4	0x1.3cf72c0000000p+4	0x1.05caf60000000p+4	0x1.c2c5e20000000p+10
37	0x1.34a0960000000p-2	0x1.e793ae0000000p+5	0x1.6766520000000p+5	0x1.48eb860000000p+5	0x1.c2c5e20000000p+10
38	0x1.3763220000000p-2	0x1.1c9afe0000000p+7	0x1.a926240000000p+6	0x1.7a40220000000p+6	0x1.c2c5e20000000p+10
39	0x1.256df60000000p-2	0x1.4b3ae00000000p+4	0x1.f01b1c0000000p+3	0x1.b11af80000000p+3	0x1.c2c5e20000000p+10
40	0x1.a5db540000000p-2	0x1.f6b02c0000000p+5	0x1.87bec60000000p+5	0x1.38911c0000000p+5	0x1.c2c5e20000000p+10
