step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.186cf60000000p-1	0x1.3f87da0000000p+6	0x1.de4c1e0000000p+5	0x1.a625ae0000000p+5	0x1.c2c5e20000000p+10
1	0x1.1f716a0000000p-1	0x1.89ff9e0000000p+5	0x1.26fda60000000p+5	0x1.024f960000000p+5	0x1.c2c5e20000000p+10
2	0x1.2c16360000000p-1	0x1.4314480000000p+6	0x1.eb72240000000p+5	0x1.a1d6080000000p+5	0x1.c2c5e20000000p+10
3	0x1.f9824a0000000p-2	0x1.9345260000000p+6	0x1.3260ea0000000p+6	0x1.04eb840000000p+6	0x1.c2c5e20000000p+10
4	0x1.265d220000000p-1	0x1.b7ee480000000p+4	0x1.5c12620000000p+4	0x1.01e6b00000000p+4	0x1.c2c5e20000000p+10
5	0x1.d14fde0000000p-2	0x1.d5b8e00000000p+5	0x1.5b5c740000000p+5	0x1.3a6cbc0000000p+5	0x1.c2c5e20000000p+10
6	0x1.aa7afa0000000p-2	0x1.dee5220000000p+4	0x1.6742400000000p+4	0x1.3814f60000000p+4	0x1.c2c5e20000000p+10
7	0x1.c3a8e40000000p-2	0x1.9bbc380000000p+5	0x1.3699d40000000p+5	0x1.0b9c220000000p+5	0x1.c2c5e20000000p+10
8	0x1.40d1ca0000000p-1	0x1.a1780a0000000p+5	0x1.385eb00000000p+5	0x1.122a780000000p+5	0x1.c2c5e20000000p+10
9	0x1.34db6e0000000p-1	0x1.534cc00000000p+5	0x1.009de80000000p+5	0x1.b3340e0000000p+4	0x1.c2c5e20000000p+10
10	0x1.131d9a0000000p-1	0x1.61c0640000000p+5	0x1.0de9680000000p+5	0x1.c1a2280000000p+4	0x1.c2c5e20000000p+10
11	0x1.de08600000000p-2	0x1.104a7c0000000p+6	0x1.9142400000000p+5	0x1.6de7440000000p+5	0x1.c2c5e20000000p+10
12	0x1.ac1c040000000p-2	0x1.26ef440000000p+5	0x1.b719aa0000000p+4	0x1.7fe0860000000p+4	0x1.c2c5e20000000p+10
