step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.23333e0000000p-1	0x1.7801160000000p+5	0x1.1696c40000000p+5	0x1.f649ee0000000p+4	0x1.c2dda00000000p+10
1	0x1.0e6a100000000p-1	0x1.a36bec0000000p+5	0x1.3c1cdc0000000p+5	0x1.12b15e0000000p+5	0x1.c2dda00000000p+10
2	0x1.3e74de0000000p-1	0x1.75f37a0000000p+6	0x1.1add720000000p+6	0x1.e828ba0000000p+5	0x1.c2dda00000000p+10
3	0x1.e09dc60000000p-2	0x1.209c5a0000000p+6	0x1.b32b6a0000000p+5	0x1.79b3e40000000p+5	0x1.c2dda00000000p+10
4	0x1.c9b1200000000p-1	0x1.3f007c0000000p+6	0x1.d2dfae0000000p+5	0x1.b0ac860000000p+5	0x1.c2dda00000000p+10
5	0x1.c4474e0000000p-2	0x1.6a193c0000000p+6	0x1.16e69c0000000p+6	0x1.cd3afc0000000p+5	0x1.c2dda00000000p+10
6	0x1.ec498e0000000p-2	0x1.59db060000000p+5	0x1.ecce3a0000000p+4	0x1.e233820000000p+4	0x1.c2dda00000000p+10
7	0x1.be39a40000000p-2	0x1.30d3d20000000p+6	0x1.e218660000000p+5	0x1.72c0040000000p+5	0x1.c2dda00000000p+10
8	0x1.465d700000000p-1	0x1.6112560000000p+6	0x1.0ca0b80000000p+6	0x1.c94f140000000p+5	0x1.c2dda00000000p+10
9	0x1.f1fbbe0000000p-2	0x1.0c5e1c0000000p+5	0x1.8e499e0000000p+4	0x1.6394f40000000p+4	0x1.c2dda00000000p+10
10	0x1.15493e0000000p-1	0x1.9897700000000p+5	0x1.3291aa0000000p+5	0x1.0ce0be0000000p+5	0x1.c2dda00000000p+10
11	0x1.bcba8e0000000p-2	0x1.416f1e0000000p+5	0x1.d4d1960000000p+4	0x1.b521260000000p+4	0x1.c2dda00000000p+10
12	0x1.1a99d20000000p-1	0x1.6e05e20000000p+6	0x1.17c1360000000p+6	0x1.d693220000000p+5	0x1.c2dda00000000p+10
