step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.11854c0000000p-1	0x1.81f4620000000p+5	0x1.18e9ae0000000p+5	0x1.0704fc0000000p+5	0x1.c2dda00000000p+10
1	0x1.2d337e0000000p-1	0x1.0cdeae0000000p+6	0x1.71970e0000000p+5	0x1.85bdd00000000p+5	0x1.c2dda00000000p+10
2	0x1.43e2660000000p-1	0x1.70de1e0000000p+5	0x1.12ddec0000000p+5	0x1.e782180000000p+4	0x1.c2dda00000000p+10
3	0x1.bcaa240000000p-2	0x1.bfd6f20000000p+6	0x1.45666c0000000p+6	0x1.3376de0000000p+6	0x1.c2dda00000000p+10
4	0x1.6ea5360000000p-1	0x1.75a9720000000p+5	0x1.0e3e320000000p+5	0x1.fd59ba0000000p+4	0x1.c2dda00000000p+10
5	0x1.0ae9840000000p-1	0x1.4e33d60000000p+6	0x1.f9beee0000000p+5	0x1.b43d680000000p+5	0x1.c2dda00000000p+10
6	0x1.089a000000000p-1	0x1.89b7760000000p+5	0x1.0c29c60000000p+5	0x1.1fabca0000000p+5	0x1.c2dda00000000p+10
7	0x1.b942640000000p-2	0x1.99998a0000000p+4	0x1.413e840000000p+4	0x1.f1efe00000000p+3	0x1.c2dda00000000p+10
8	0x1.5b842a0000000p-1	0x1.8bae860000000p+6	0x1.1e560e0000000p+6	0x1.10a2fa0000000p+6	0x1.c2dda00000000p+10
9	0x1.17dd600000000p-1	0x1.3610be0000000p+5	0x1.c035c40000000p+4	0x1.a743260000000p+4	0x1.c2dda00000000p+10
10	0x1.06d4ce0000000p-1	0x1.d456040000000p+5	0x1.3ca7120000000p+5	0x1.586a580000000p+5	0x1.c2dda00000000p+10
11	0x1.9515e20000000p-2	0x1.f827880000000p+4	0x1.7669ee0000000p+4	0x1.4e4c7a0000000p+4	0x1.c2dda00000000p+10
12	0x1.afd3c60000000p-2	0x1.3fea640000000p+5	0x1.ce82a00000000p+4	0x1.b58dd40000000p+4	0x1.c2dda00000000p+10
13	0x1.8c40e60000000p-2	0x1.3eaeec0000000p+6	0x1.e90f920000000p+5	0x1.9686ac0000000p+5	0x1.c2dda00000000p+10
14	0x1.1c67c00000000p-1	0x1.d2f75e0000000p+5	0x1.385b9e0000000p+5	0x1.59641e0000000p+5	0x1.c2dda00000000p+10
15	0x1.ecc4f00000000p-2	0x1.8892880000000p+4	0x1.160ba20000000p+4	0x1.1170560000000p+4	0x1.c2dda00000000p+10
16	0x1.e05d8e0000000p-2	0x1.151eec0000000p+5	0x1.7008c40000000p+4	0x1.9c72c80000000p+4	0x1.c2dda00000000p+10
17	0x1.b79c640000000p-2	0x1.d6c40e0000000p+4	0x1.55f6340000000p+4	0x1.407ca60000000p+4	0x1.c2dda00000000p+10
18	0x1.191ffe0000000p-1	0x1.4339560000000p+6	0x1.e7729e0000000p+5	0x1.a64f8e0000000p+5	0x1.c2dda00000000p+10
19	0x1.f51a060000000p-2	0x1.fe43820000000p+4	0x1.6fd64a0000000p+4	0x1.5c5b6a0000000p+4	0x1.c2dda00000000p+10
20	0x1.ddf7fa0000000p-2	0x1.7e9f8e0000000p+5	0x1.0b7bfc0000000p+5	0x1.0fed7a0000000p+5	0x1.c2dda00000000p+10
21	0x1.7e061a0000000p-2	0x1.6f5b520000000p+5	0x1.f413ae0000000p+4	0x1.0c11860000000p+5	0x1.c2dda00000000p+10
22	0x1.75f7960000000p-2	0x1.4f4fe00000000p+4	0x1.eff83c0000000p+3	0x1.b9d5c40000000p+3	0x1.c2dda00000000p+10
23	0x1.a93cca0000000p-2	0x1.04691c0000000p+5	0x1.71d52c0000000p+4	0x1.6bf7760000000p+4	0x1.c2dda00000000p+10
24	0x1.0ec4ce0000000p-1	0x1.f446680000000p+4	0x1.63a3bc0000000p+4	0x1.5c44920000000p+4	0x1.c2dda00000000p+10
25	0x1.203eca0000000p-1	0x1.0a7e180000000p+5	0x1.7d62e60000000p+4	0x1.71673a0000000p+4	0x1.c2dda00000000p+10
26	0x1.b7409a0000000p-2	0x1.0f39960000000p+6	0x1.9947640000000p+5	0x1.63440c0000000p+5	0x1.c2dda00000000p+10
27	0x1.c80dc00000000p-2	0x1.3751360000000p+5	0x1.a86ece0000000p+4	0x1.c49d760000000p+4	0x1.c2dda00000000p+10
28	0x1.f991800000000p-2	0x1.70706c0000000p+5	0x1.f655d00000000p+4	0x1.0c7f940000000p+5	0x1.c2dda00000000p+10
29	0x1.a50a9a0000000p-2	0x1.34f6180000000p+5	0x1.de0d140000000p+4	0x1.864e1c0000000p+4	0x1.c2dda00000000p+10
30	0x1.6293160000000p-2	0x1.8217100000000p+5	0x1.1fbc860000000p+5	0x1.00a8520000000p+5	0x1.c2dda00000000p+10
31	0x1.4726da0000000p-2	0x1.a3a3560000000p+5	0x1.0a90c40000000p+5	0x1.431bde0000000p+5	0x1.c2dda00000000p+10
32	0x1.17a16e0000000p-2	0x1.8d86ca0000000p+4	0x1.1858560000000p+4	0x1.1622120000000p+4	0x1.c2dda00000000p+10
33	0x1.406c8a0000000p-2	0x1.3e2a1e0000000p+4	0x1.d8ce880000000p+3	0x1.a25fa40000000p+3	0x1.c2dda00000000p+10
34	0x1.c6e8a60000000p-2	0x1.9d91f20000000p+4	0x1.377f360000000p+4	0x1.0a629c0000000p+4	0x1.c2dda00000000p+10
35	0x1.3ba34e0000000p-2	0x1.06e1060000000p+4	0x1.7af54c0000000p+3	0x1.6081f00000000p+3	0x1.c2dda00000000p+10
36	0x1.b1503a0000000p-2	0x1.5333980000000p+5	0x1.dd94240000000p+4	0x1.e0888c0000000p+4	0x1.c2dda00000000p+10
37	0x1.fc88aa0000000p-3	0x1.9824180000000p+3	0x1.29c3b20000000p+3	0x1.125afc0000000p+3	0x1.c2dda00000000p+10
38	0x1.3fb1ee0000000p-2	0x1.4e4ce80000000p+5	0x1.e2294c0000000p+4	0x1.ce612c0000000p+4	0x1.c2dda40000000p+10
39	0x1.5c54800000000p-2	0x1.66b2d00000000p+5	0x1.0e13c20000000p+5	0x1.d6acb40000000p+4	0x1.c2dda00000000p+10
40	0x1.66f10e0000000p-2	0x1.a407360000000p+4	0x1.36097c0000000p+4	0x1.19da340000000p+4	0x1.c2dda00000000p+10
41	0x1.db2bc40000000p-2	0x1.1e67e60000000p+5	0x1.a7c2ce0000000p+4	0x1.7f55380000000p+4	0x1.c2dda00000000p+10
42	0x1.576c700000000p-2	0x1.79e09a0000000p+3	0x1.1b499a0000000p+3	0x1.e6e6460000000p+2	0x1.c2dda00000000p+10
43	0x1.6a3abe0000000p-2	0x1.dc5f200000000p+4	0x1.45d78a0000000p+4	0x1.5a0be00000000p+4	0x1.c2dda00000000p+10
44	0x1.0bb4700000000p-2	0x1.ecea580000000p+3	0x1.5cfb4c0000000p+3	0x1.583df80000000p+3	0x1.c2dda40000000p+10
45	0x1.77810a0000000p-2	0x1.3a8a440000000p+7	0x1.cf516c0000000p+6	0x1.a96f6e0000000p+6	0x1.c2dda40000000p+10
46	0x1.1ad8720000000p-2	0x1.824d340000000p+5	0x1.1a4e040000000p+5	0x1.06238a0000000p+5	0x1.c2dda00000000p+10
47	0x1.fbb91a0000000p-2	0x1.bf84760000000p+4	0x1.2767a80000000p+4	0x1.4b8cc00000000p+4	0x1.c2dda40000000p+10
