step	loss.hex	grad_norm.hex	llm_grad_norm.hex	mem_enc_norm.hex	param_norm.hex
0	0x1.466aae0000000p-1	0x1.453da20000000p+5	0x1.01a8840000000p+5	0x1.8843e80000000p+4	0x1.c2c5e20000000p+10
1	0x1.33fb6e0000000p-1	0x1.13be0c0000000p+6	0x1.9405ce0000000p+5	0x1.7615f20000000p+5	0x1.c2c5e20000000p+10
2	0x1.4732620000000p-1	0x1.70b8da0000000p+5	0x1.13251e0000000p+5	0x1.e68ff20000000p+4	0x1.c2c5e20000000p+10
3	0x1.3b01a80000000p-1	0x1.02ac820000000p+5	0x1.8ac4440000000p+4	0x1.4a63500000000p+4	0x1.c2c5e20000000p+10
4	0x1.32cca00000000p-1	0x1.4d71ca0000000p+5	0x1.0a7e8a0000000p+5	0x1.8d04e40000000p+4	0x1.c2c5e20000000p+10
5	0x1.3ee7160000000p-1	0x1.8596f00000000p+5	0x1.1d7c560000000p+5	0x1.071d540000000p+5	0x1.c2c5e20000000p+10
6	0x1.4c4d4a0000000p-1	0x1.1e471a0000000p+6	0x1.abc7cc0000000p+5	0x1.7b2bd80000000p+5	0x1.c2c5e20000000p+10
7	0x1.368d0a0000000p-1	0x1.cacf000000000p+6	0x1.5a84380000000p+6	0x1.2c45680000000p+6	0x1.c2c5e20000000p+10
8	0x1.410b160000000p-1	0x1.af84f40000000p+5	0x1.3fda780000000p+5	0x1.205c660000000p+5	0x1.c2c5e20000000p+10
9	0x1.1921bc0000000p-1	0x1.d3e65a0000000p+5	0x1.5dd1b40000000p+5	0x1.354b840000000p+5	0x1.c2c5e20000000p+10
10	0x1.2e8cca0000000p-1	0x1.c1b0780000000p+6	0x1.5081a00000000p+6	0x1.29da400000000p+6	0x1.c2c5e20000000p+10
11	0x1.305bee0000000p-1	0x1.dba4d20000000p+5	0x1.5fcc200000000p+5	0x1.3e928a0000000p+5	0x1.c2c5e20000000p+10
12	0x1.2365300000000p-1	0x1.1a51c20000000p+5	0x1.a1c5dc0000000p+4	0x1.76d0300000000p+4	0x1.c2c5e20000000p+10
13	0x1.1128220000000p-1	0x1.e3e0180000000p+4	0x1.7a1eaa0000000p+4	0x1.2713f20000000p+4	0x1.c2c5e20000000p+10
14	0x1.2a4c0e0000000p-1	0x1.04222c0000000p+6	0x1.8671800000000p+5	0x1.56a8860000000p+5	0x1.c2c5e20000000p+10
15	0x1.0b9b1a0000000p-1	0x1.38027c0000000p+5	0x1.da66880000000p+4	0x1.9101ea0000000p+4	0x1.c2c5e20000000p+10
16	0x1.0e63460000000p-1	0x1.8c50340000000p+6	0x1.2a2a2a0000000p+6	0x1.048a8c0000000p+6	0x1.c2c5e20000000p+10
17	0x1.1670f40000000p-1	0x1.f87c840000000p+4	0x1.7785ae0000000p+4	0x1.4c70680000000p+4	0x1.c2c5e20000000p+10
18	0x1.e61ef60000000p-2	0x1.3c4dce0000000p+5	0x1.d520560000000p+4	0x1.a49f860000000p+4	0x1.c2c5e20000000p+10
19	0x1.01927a0000000p-1	0x1.afa9ae0000000p+6	0x1.4576d40000000p+6	0x1.1b32460000000p+6	0x1.c2c5e20000000p+10
20	0x1.0048e60000000p-1	0x1.411f080000000p+5	0x1.ddb4fa0000000p+4	0x1.aa008c0000000p+4	0x1.c2c5e20000000p+10
21	0x1.c5593a0000000p-2	0x1.744ab60000000p+6	0x1.15ec680000000p+6	0x1.eeaa800000000p+5	0x1.c2c5e20000000p+10
22	0x1.c49cee0000000p-2	0x1.8807740000000p+6	0x1.2604c20000000p+6	0x1.02ff160000000p+6	0x1.c2c5e20000000p+10
23	0x1.c553f00000000p-2	0x1.134f180000000p+6	0x1.9b84c20000000p+5	0x1.6ce0580000000p+5	0x1.c2c5e20000000p+10
24	0x1.d590a40000000p-2	0x1.7a2f960000000p+6	0x1.1cca320000000p+6	0x1.f10ca20000000p+5	0x1.c2c5e20000000p+10
25	0x1.7707320000000p-2	0x1.d80ad80000000p+4	0x1.5d414e0000000p+4	0x1.3b38900000000p+4	0x1.c2c5e20000000p+10
26	0x1.91ba200000000p-2	0x1.d717e00000000p+5	0x1.5ea7560000000p+5	0x1.39d27c0000000p+5	0x1.c2c5e20000000p+10
27	0x1.7ed7240000000p-2	0x1.3938e00000000p+5	0x1.d4b29e0000000p+4	0x1.9dbd500000000p+4	0x1.c2c5e20000000p+10
28	0x1.5ddc5e0000000p-2	0x1.9e51bc0000000p+4	0x1.366a520000000p+4	0x1.0fda340000000p+4	0x1.c2c5e20000000p+10
29	0x1.5ed8840000000p-2	0x1.159a940000000p+5	0x1.9af8420000000p+4	0x1.737dec0000000p+4	0x1.c2c5e20000000p+10
30	0x1.3b79420000000p-2	0x1.28e5780000000p+4	0x1.c46bda0000000p+3	0x1.7a71d40000000p+3	0x1.c2c5e20000000p+10
