2026/08/26 20:26:36.062, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:36.063, 1, 0 %, 0 %, 9 MiB, 28.33 W
2026/08/26 20:26:36.569, 0, 0 %, 0 %, 1017 MiB, 22.81 W
2026/08/26 20:26:36.569, 1, 0 %, 0 %, 9 MiB, 28.33 W
2026/08/26 20:26:37.069, 0, 0 %, 0 %, 1017 MiB, 22.81 W
2026/08/26 20:26:37.069, 1, 0 %, 0 %, 9 MiB, 28.34 W
2026/08/26 20:26:37.569, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:37.570, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:38.070, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:38.070, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:38.570, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:38.570, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:39.071, 0, 0 %, 0 %, 1017 MiB, 22.86 W
2026/08/26 20:26:39.071, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:39.571, 0, 0 %, 0 %, 1017 MiB, 22.85 W
2026/08/26 20:26:39.571, 1, 0 %, 0 %, 9 MiB, 28.32 W
2026/08/26 20:26:40.071, 0, 0 %, 0 %, 1017 MiB, 22.85 W
2026/08/26 20:26:40.072, 1, 0 %, 0 %, 9 MiB, 28.32 W
2026/08/26 20:26:40.572, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:26:40.572, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:41.072, 0, 0 %, 0 %, 1017 MiB, 22.82 W
2026/08/26 20:26:41.072, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:41.573, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:41.573, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:42.073, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:42.073, 1, 0 %, 0 %, 9 MiB, 28.42 W
2026/08/26 20:26:42.573, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:42.573, 1, 0 %, 0 %, 9 MiB, 28.41 W
2026/08/26 20:26:43.074, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:43.074, 1, 0 %, 0 %, 9 MiB, 28.41 W
2026/08/26 20:26:43.574, 0, 0 %, 0 %, 1017 MiB, 22.83 W
2026/08/26 20:26:43.574, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:26:44.074, 0, 0 %, 0 %, 1017 MiB, 22.85 W
2026/08/26 20:26:44.075, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:26:44.575, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:44.575, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:45.075, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:45.075, 1, 0 %, 0 %, 9 MiB, 28.35 W
2026/08/26 20:26:45.576, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:45.576, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:26:46.076, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:46.076, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:26:46.576, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:46.577, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:26:47.077, 0, 0 %, 0 %, 1017 MiB, 22.84 W
2026/08/26 20:26:47.077, 1, 0 %, 0 %, 9 MiB, 28.38 W
2026/08/26 20:26:47.577, 0, 0 %, 0 %, 1017 MiB, 22.81 W
2026/08/26 20:26:47.577, 1, 0 %, 0 %, 9 MiB, 28.45 W
2026/08/26 20:26:48.078, 0, 0 %, 0 %, 1017 MiB, 22.81 W
2026/08/26 20:26:48.078, 1, 0 %, 0 %, 9 MiB, 28.45 W
2026/08/26 20:26:48.578, 0, 0 %, 0 %, 1017 MiB, 22.81 W
2026/08/26 20:26:48.578, 1, 0 %, 0 %, 9 MiB, 28.42 W
2026/08/26 20:26:49.078, 0, 0 %, 0 %, 1017 MiB, 22.81 W
2026/08/26 20:26:49.079, 1, 0 %, 0 %, 9 MiB, 28.42 W
