2026/08/27 00:10:00.716, 0, 0 %, 0 %, 1017 MiB, 59.02 W
2026/08/27 00:10:00.719, 1, 0 %, 0 %, 9 MiB, 62.24 W
2026/08/27 00:10:01.222, 0, 0 %, 0 %, 1017 MiB, 69.81 W
2026/08/27 00:10:01.222, 1, 0 %, 0 %, 9 MiB, 69.92 W
2026/08/27 00:10:01.730, 0, 0 %, 0 %, 1017 MiB, 69.81 W
2026/08/27 00:10:01.730, 1, 0 %, 0 %, 9 MiB, 69.92 W
2026/08/27 00:10:02.336, 0, 0 %, 0 %, 1017 MiB, 83.08 W
2026/08/27 00:10:02.337, 1, 0 %, 0 %, 9 MiB, 82.71 W
2026/08/27 00:10:02.844, 0, 0 %, 0 %, 1017 MiB, 83.08 W
2026/08/27 00:10:02.901, 1, 0 %, 0 %, 9 MiB, 82.71 W
2026/08/27 00:10:04.121, 0, 0 %, 0 %, 1017 MiB, 56.02 W
2026/08/27 00:10:04.235, 1, 0 %, 0 %, 9 MiB, 64.44 W
2026/08/27 00:10:05.753, 0, 0 %, 0 %, 1017 MiB, 54.16 W
2026/08/27 00:10:05.927, 1, 0 %, 0 %, 9 MiB, 56.84 W
2026/08/27 00:10:06.432, 0, 0 %, 0 %, 1017 MiB, 71.65 W
2026/08/27 00:10:06.529, 1, 0 %, 0 %, 9 MiB, 69.49 W
2026/08/27 00:10:07.147, 0, 0 %, 0 %, 1017 MiB, 83.73 W
2026/08/27 00:10:07.148, 1, 0 %, 0 %, 9 MiB, 69.49 W
2026/08/27 00:10:07.653, 0, 0 %, 0 %, 1017 MiB, 83.73 W
2026/08/27 00:10:07.751, 1, 0 %, 0 %, 9 MiB, 75.62 W
2026/08/27 00:10:08.406, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:08.407, 1, 0 %, 0 %, 9 MiB, 68.88 W
2026/08/27 00:10:08.911, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:09.008, 1, 0 %, 0 %, 9 MiB, 60.66 W
2026/08/27 00:10:09.632, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:09.632, 1, 0 %, 0 %, 9 MiB, 60.66 W
2026/08/27 00:10:10.134, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:10.154, 1, 0 %, 0 %, 9 MiB, 65.52 W
2026/08/27 00:10:10.660, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:10.661, 1, 0 %, 0 %, 9 MiB, 65.52 W
2026/08/27 00:10:11.164, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:11.164, 1, 0 %, 0 %, 9 MiB, 65.52 W
2026/08/27 00:10:11.667, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:11.710, 1, 0 %, 0 %, 9 MiB, 72.53 W
2026/08/27 00:10:12.365, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:12.365, 1, 0 %, 0 %, 9 MiB, 68.92 W
2026/08/27 00:10:12.872, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:12.872, 1, 0 %, 0 %, 9 MiB, 68.92 W
2026/08/27 00:10:13.378, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:13.405, 1, 0 %, 0 %, 9 MiB, 57.78 W
2026/08/27 00:10:14.372, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:14.373, 1, 0 %, 0 %, 9 MiB, 59.30 W
2026/08/27 00:10:15.431, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:15.431, 1, 0 %, 0 %, 9 MiB, 76.12 W
2026/08/27 00:10:15.937, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:15.937, 1, 0 %, 0 %, 9 MiB, 76.12 W
2026/08/27 00:10:16.440, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:16.538, 1, 0 %, 0 %, 9 MiB, 85.81 W
2026/08/27 00:10:17.191, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:17.191, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:17.700, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:17.817, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:18.442, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:18.442, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:18.947, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:18.966, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:19.582, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:19.582, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:20.088, 0, 0 %, 0 %, 1017 MiB, 66.39 W
2026/08/27 00:10:20.101, 1, 0 %, 0 %, 9 MiB, 67.26 W
2026/08/27 00:10:20.721, 0, 0 %, 0 %, 1017 MiB, 66.39 W
